arm,VCO2,Vd_mL,V_T_L,V_E,V_A,L_total,f_device
not intubated,180,195.36282051282,0.41111282051282,7.40003076923077,3.8835,6.00311775818127,0.159837009242144
not intubated,250,213.003917378917,0.512656695156695,9.22782051282051,5.39375,7.72672893839506,0.19174634278482
not intubated,320,230.645014245014,0.61420056980057,11.0556102564103,6.904,9.54575449244169,0.221320536136104
not intubated,400,250.806267806268,0.730250712250712,13.1445128205128,8.63,11.7414747670658,0.252575880275477
ETT 7.5,180,141.362820512821,0.357112820512821,6.42803076923077,3.8835,5.6627440142674,0.238813999307194
ETT 7.5,250,159.003917378917,0.458656695156695,8.25582051282051,5.39375,7.64944460178647,0.283588172850092
ETT 7.5,320,176.645014245014,0.56020056980057,10.0836102564103,6.904,9.80286274531153,0.323387592849241
ETT 7.5,400,196.806267806268,0.676250712250712,12.1725128205128,8.63,12.4680559983271,0.363781182849588
trach 8.0,180,128.862820512821,0.344612820512821,6.20303076923077,3.8835,4.92604677533397,0.137538402091204
trach 8.0,250,146.503917378917,0.446156695156695,8.03082051282051,5.39375,6.58717210022525,0.171130151122951
trach 8.0,320,164.145014245014,0.54770056980057,9.85861025641026,6.904,8.34371179894937,0.202203287603638
trach 8.0,400,184.306267806268,0.663750712250712,11.9475128205128,8.63,10.4680196674906,0.234979862231718
