VCO2,VD_VT,phi,VE_native,VE_ETT,VE_trach,dVE_device,dVE_bypass,frac_device,frac_bypass,V_T_ETT,V_T_trach,Vd_ETT_mL,Vd_trach_mL
180,0.3,0.110169491525424,7.06431428571429,6.09231428571429,5.86731428571429,0.224999999999999,1.197,0.036931778212361,0.169443197398595,0.338461904761905,0.325961904761905,122.711904761905,110.211904761905
250,0.3,0.110169491525424,8.76154761904762,7.78954761904762,7.56454761904762,0.224999999999999,1.197,0.0288848609705923,0.136619699172521,0.432752645502645,0.420252645502646,133.099867724868,120.599867724868
320,0.3,0.110169491525424,10.458780952381,9.48678095238095,9.26178095238095,0.225000000000001,1.197,0.0237172125222868,0.114449284811487,0.527043386243386,0.514543386243386,143.487830687831,130.987830687831
400,0.3,0.110169491525424,12.3984761904762,11.4264761904762,11.2014761904762,0.225,1.197,0.0196911100368401,0.0965441221655504,0.634804232804233,0.622304232804233,155.359788359788,142.859788359788
180,0.45,0.300847457627119,8.25458181818182,7.28258181818182,7.05758181818182,0.224999999999999,1.197,0.0308956364126607,0.145010374403637,0.404587878787879,0.392087878787879,188.837878787879,176.337878787879
250,0.45,0.300847457627119,10.414696969697,9.44269696969697,9.21769696969697,0.225,1.197,0.0238279382174455,0.114933732924044,0.524594276094276,0.512094276094276,224.941498316498,212.441498316498
320,0.45,0.300847457627119,12.5748121212121,11.6028121212121,11.3778121212121,0.225,1.197,0.0193918506694302,0.0951902890048602,0.644600673400673,0.632100673400673,261.045117845118,248.545117845118
400,0.45,0.300847457627119,15.0435151515152,14.0715151515152,13.8465151515152,0.225,1.197,0.0159897493324145,0.0795691690368949,0.781750841750842,0.769250841750842,302.306397306397,289.806397306397
180,0.6,0.491525423728814,10.33755,9.36555,9.14055,0.225000000000001,1.197,0.0240242164101416,0.115791459291612,0.520308333333333,0.507808333333333,304.558333333333,292.058333333333
250,0.6,0.491525423728814,13.3077083333333,12.3357083333333,12.1107083333333,0.224999999999998,1.197,0.0182397308626378,0.0899478685598885,0.68531712962963,0.67281712962963,385.664351851852,373.164351851852
320,0.6,0.491525423728814,16.2778666666667,15.3058666666667,15.0808666666667,0.225,1.197,0.0147002456574385,0.0735354346187871,0.850325925925926,0.837825925925926,466.77037037037,454.27037037037
400,0.6,0.491525423728814,19.6723333333333,18.7003333333333,18.4753333333333,0.224999999999998,1.197,0.0120318710896418,0.0608468746293441,1.03890740740741,1.02640740740741,559.462962962963,546.962962962963
