output,parameter,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
f_device,C_rs,0.127558067216638,0.0437506053526058,0.220163418895121,0.15100062908927,0.129597472043006,0.169946966654725
f_device,R_aw_native,0.271632927127347,0.115478313285265,0.40843437948348,0.312082378864279,0.285046047690074,0.349019590846432
f_device,target_VA_L_min,0.0605084437875422,-0.0103649107184546,0.116378184312678,0.0620788495059861,0.0562497877712831,0.069615060788025
f_device,RR,0.213707812151511,0.117131717979841,0.325560696274788,0.233619438658485,0.211268025602028,0.263045805398065
f_device,K1_scale,0.00126936638989622,-0.00647295917715158,0.00879110306586708,0.00119679099898477,0.00107121895831261,0.00132648315665727
f_device,K2_scale,0.269241822851918,0.162706836804452,0.381439683602578,0.287120879782832,0.26320493199904,0.322877938734791
f_device,Vd_upper_bypassed_mL,0.00474863493099303,-0.0104968640608381,0.0201781059011602,0.00569200650821076,0.00509385907188096,0.00635928567698567
WOB_total_J_min,C_rs,0.122633569739437,0.0244014145247674,0.22942515827378,0.142818218182988,0.126373090845784,0.159332890170576
WOB_total_J_min,R_aw_native,0.196554925255433,0.0990513704515922,0.315793872377142,0.218781155364248,0.197002026070003,0.241916726466593
WOB_total_J_min,target_VA_L_min,0.53682044631632,0.366412156954382,0.703494412467832,0.563902157050065,0.517343080189394,0.617237588046631
WOB_total_J_min,RR,0.01564222409244,-0.0347955382184065,0.0527233160316785,0.0347485716709976,0.0304373847212438,0.0399689937731629
WOB_total_J_min,K1_scale,5.61194086297115e-05,-0.00254729668702698,0.00206523432580887,0.000100237277074942,9.06544576722629e-05,0.000111955201919513
WOB_total_J_min,K2_scale,0.0267764061956314,-0.0133914366035409,0.0642209018881036,0.0327643642896769,0.0283158003243138,0.0375652733714719
WOB_total_J_min,Vd_upper_bypassed_mL,0.05168937884722,0.00344155954341583,0.106724504197384,0.0514625649053967,0.0465949621502651,0.0577935234446133
P_mus_mean,C_rs,0.295246279528992,0.107882829838474,0.476185008082372,0.327448279922431,0.29415743823683,0.361887428470371
P_mus_mean,R_aw_native,0.289992608704059,0.135800546201595,0.477748545677884,0.298921988882491,0.275049473840696,0.326631998860229
P_mus_mean,target_VA_L_min,0.278125300108597,0.115983239645361,0.423047737139818,0.292655337707881,0.268319621869119,0.322148982936399
P_mus_mean,RR,0.0304605364425587,-0.0435260168967893,0.0978063293378194,0.0590076098372536,0.0492008247174116,0.0690745171813652
P_mus_mean,K1_scale,0.000137602937035303,-0.00375031429291399,0.00301811323816197,0.000136961342824556,0.000126272010547008,0.000150150331661231
P_mus_mean,K2_scale,0.0316681222313545,-0.021594850626532,0.0768112216419637,0.0345291661108059,0.0310250670581668,0.0387604264552274
P_mus_mean,Vd_upper_bypassed_mL,0.0271099632703977,-0.0152359207233263,0.0781117695434661,0.0235658222128055,0.0215329846611333,0.0265518455094065
